signal_mean,background_mean,average_signal_events_per_slot,binary_ook_capacity_bits_per_slot_p_on_le_0p5,capacity_optimal_p_on,ook_ber,repetition5_ber_per_payload_bit,scheme,ber,raw_bits_per_slot,average_signal_events_per_raw_bit,error_metric,ppm_symbol_error,ppm_raw_bits_per_slot
0.06702167962416428,0.01,0.008377709953020535,0.021348272336924892,0.42658451404614856,0.4679099735654345,0.3645737280655762,PPM-8,,0.375,0.022340559874721427,symbol-error probability,0.8204076751726002,0.375
0.07608452400321913,0.01,0.03804226200160957,0.025163659664477894,0.4238428614475493,0.46373342100546233,0.3495024050716484,OOK,0.46373342100546233,1.0,0.03804226200160957,bit-error probability,,
0.07608452400321913,0.01,0.03804226200160957,0.025163659664477894,0.4238428614475493,0.46373342100546233,0.3495024050716484,repeat-5,0.3495024050716484,0.2,0.19021131000804783,bit-error probability,,
0.07608452400321913,0.01,0.019021131000804783,0.025163659664477894,0.4238428614475493,0.46373342100546233,0.3495024050716484,PPM-4,,0.5,0.03804226200160957,symbol-error probability,0.696093840507124,0.5
0.07608452400321913,0.01,0.009510565500402392,0.025163659664477894,0.4238428614475493,0.46373342100546233,0.3495024050716484,PPM-8,,0.375,0.025361508001073046,symbol-error probability,0.8132914677297801,0.375
0.08637286957382195,0.01,0.04318643478691098,0.029575697473528093,0.42124419881342595,0.45903775343692127,0.33320070726048623,OOK,0.45903775343692127,1.0,0.04318643478691098,bit-error probability,,
0.08637286957382195,0.01,0.04318643478691098,0.029575697473528093,0.42124419881342595,0.45903775343692127,0.33320070726048623,repeat-5,0.33320070726048623,0.2,0.21593217393455488,bit-error probability,,
0.08637286957382195,0.01,0.02159321739345549,0.029575697473528093,0.42124419881342595,0.45903775343692127,0.33320070726048623,PPM-4,,0.5,0.04318643478691098,symbol-error probability,0.6891081819500774,0.5
0.08637286957382195,0.01,0.010796608696727744,0.029575697473528093,0.42124419881342595,0.45903775343692127,0.33320070726048623,PPM-8,,0.375,0.02879095652460732,symbol-error probability,0.805287664966349,0.375
0.0980524317678694,0.01,0.0490262158839347,0.034664475953664314,0.4188062613812071,0.4537653498566529,0.31568303764569816,OOK,0.4537653498566529,1.0,0.0490262158839347,bit-error probability,,
0.0980524317678694,0.01,0.0490262158839347,0.034664475953664314,0.4188062613812071,0.4537653498566529,0.31568303764569816,repeat-5,0.31568303764569816,0.2,0.2451310794196735,bit-error probability,,
0.0980524317678694,0.01,0.02451310794196735,0.034664475953664314,0.4188062613812071,0.4537653498566529,0.31568303764569816,PPM-4,,0.5,0.0490262158839347,symbol-error probability,0.6812628061915764,0.5
0.0980524317678694,0.01,0.012256553970983675,0.034664475953664314,0.4188062613812071,0.4537653498566529,0.31568303764569816,PPM-8,,0.375,0.032684143922623136,symbol-error probability,0.796296856161713,0.375
0.11131133448536708,0.01,0.05565566724268354,0.040519123346689834,0.4165462855960751,0.44785415792684424,0.2969978022122849,OOK,0.44785415792684424,1.0,0.05565566724268354,bit-error probability,,
